TEM LYHYEN AIKAVÄLIN TYÖMARKKINAENNUSTE, KOKO MAA;;;;;TYÖTTÖMYYSTURVAN KUNTAMAKSUN KORJAUSKERTOIMET ;;;;;FINANSSIVALVONTA, Ansiopäivärahan saajat ja maksetut etuudet, koko maa;
;2026*;2027*;2028*;;;TYÖMARKKINATUKI, PERUSPÄIVÄRAHA, YLEISTUKI TYÖTTÖMYYDEN PERUSTEELLA;ANSIOTURVA;Sanalliset kuvaukset korjauskertoimista (jokaiseen soluun oma kuvaus ja mihin kuukausiin vaikuttaa;ARKIPÄIVIEN LKM;Maksetut etuudet;Saajat
Työttömät työnhakijat;342 000;338 000;324 000;;tammi.25;2,7;5,58;Maksuperusteesta johtuen kuluja ei kohdentunut alkuvuodelle täysimääräisesti. Kelan etuuksia on oikaistu ylöspäin tammi-helmi ja ansiopäivärahaa tammi-maalis.;23;189696469;130285
Pitkäaikaistyöttömät;141 000;138 000;129 000;;helmi.25;1,09;1,32;;20;177985936;125512
;;;;;maalis.25;1,04;1,2;;21;175899709;129863
TEM LYHYEN AIKAVÄLIN TYÖMARKKINAENNUSTE,  Elinvoimakeskusalueittain;;;;;huhti.25;1,04;1;;22;179354663;124733
Työttömät työnhakijat;;;;;touko.25;1,04;1;;22;149802318;111283
EVK;2026*;2027*;2028*;;kesä.25;1,04;1;;21;134392850;100946
Uudenmaan;117 600;118 200;114 500;;heinä.25;1,04;1;;23;146159609;104224
Varsinais-Suomen;28 800;28 500;27 200;;elo.25;1,04;1;;21;145669506;106593
Satakunnan;11 200;11 000;10 500;;syys.25;1,04;1;;22;130597578;96764
Hämeen;23 300;22 700;21 400;;loka.25;0,8;1;Ansiopäivärahalta työmarkkinatuelle tippuneita ei oltu laskutettu loka/marraskuuhun asti ollenkaan. Takautuvat maksut on tasattu Kelan etuuksiin painotetusti tammikuusta loka/marraskuuhun, jolloin takautuva korjaus on tehty.;23;131887599;98797
Pirkanmaan;36 400;35 900;34 200;;marras.25;0,87;1;Pääosin työmarkkinatuen hyvitykset palautettiin kunnille koko alkuvuoden osalta vasta marraskuussa. Palautukset on tasattu Kelan etuuksiin painotetusti tammi-marras.;20;127743052;98491
Kaakkois-Suomen;18 200;18 000;17 500;;joulu.25;1;1;;23;141352878;106527
Etelä-Savon;6 600;6 400;6 000;;tammi.26;1;1;;22;149805256;114804
Pohjois-Savon;14 600;14 500;14 100;;helmi.26;1;1;;20;146312017;112936
Pohjois-Karjalan;10 900;10 700;10 400;;maalis.26;1;1;;22;153015833;118995
Keski-Suomen;19 600;19 400;18 600;;huhti.26;1;1;;22;140475794;109160
Etelä-Pohjanmaan;7 700;7 400;6 900;;touko.26;1;1;;21;116459444;95307
Pohjanmaan;9 500;9 300;8 800;;kesä.26;1;1;;22;108498968;88005
Pohjois-Pohjanmaan;25 600;25 000;23 900;;heinä.26;1;1;;23;110339623;89893
Kainuun;3 200;3 000;2 700;;elo.26;1;1;;21;117529866;93255
Lapin;8 100;7 500;6 700;;syys.26;1;1;;22;;
;;;;;loka.26;1;1;;22;;
;;;;;marras.26;1;1;;21;;
;;;;;joulu.26;1;1;;23;;
;;;;;tammi.27;1;1;;21;;
;;;;;helmi.27;1;1;;20;;
;;;;;maalis.27;1;1;;23;;
;;;;;huhti.27;1;1;;22;;
;;;;;touko.27;1;1;;21;;
;;;;;kesä.27;1;1;;22;;
;;;;;heinä.27;1;1;;22;;
;;;;;elo.27;1;1;;22;;
;;;;;syys.27;1;1;;22;;
;;;;;loka.27;1;1;;21;;
;;;;;marras.27;1;1;;22;;
;;;;;joulu.27;1;1;;23;;
;;;;;tammi.28;1;1;;21;;
;;;;;helmi.28;1;1;;21;;
;;;;;maalis.28;1;1;;23;;
;;;;;huhti.28;1;1;;20;;
;;;;;touko.28;1;1;;23;;
;;;;;kesä.28;1;1;;22;;
;;;;;heinä.28;1;1;;21;;
;;;;;elo.28;1;1;;23;;
;;;;;syys.28;1;1;;21;;
;;;;;loka.28;1;1;;22;;
;;;;;marras.28;1;1;;22;;
;;;;;joulu.28;1;1;;21;;
;;;;;tammi.29;;;;;;
;;;;;helmi.29;;;;;;
;;;;;maalis.29;;;;;;
;;;;;huhti.29;;;;;;
;;;;;touko.29;;;;;;
;;;;;kesä.29;;;;;;
;;;;;heinä.29;;;;;;
;;;;;elo.29;;;;;;
;;;;;syys.29;;;;;;
;;;;;loka.29;;;;;;
;;;;;marras.29;;;;;;
;;;;;joulu.29;;;;;;
;;;;;tammi.30;;;;;;
;;;;;helmi.30;;;;;;
;;;;;maalis.30;;;;;;
;;;;;huhti.30;;;;;;
;;;;;touko.30;;;;;;
;;;;;kesä.30;;;;;;
;;;;;heinä.30;;;;;;
;;;;;elo.30;;;;;;
;;;;;syys.30;;;;;;
;;;;;loka.30;;;;;;
;;;;;marras.30;;;;;;
;;;;;joulu.30;;;;;;
